date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:20	7481/7481	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Apr%202018%2010:17:06%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-inline-charts.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/widget-inline-charts.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/inline.html)
17:36:22	62647/62647	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:45:50%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/jquery-sparkline/dist/jquery.sparkline.min.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/jquery-sparkline/dist/jquery.sparkline.min.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/charts/inline.html)
17:36:23	8767/8767	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202017%2022:44:44%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/bootstrap-slider/slider.css	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/bootstrap-slider/slider.css	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/sliders.html)
17:36:55	197242/197242	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jan%202018%2019:39:04%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/img1.jpg	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/img1.jpg	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/sliders.html)
17:37:03	243768/243768	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jan%202018%2019:38:52%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/img2.jpg	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/img2.jpg	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/sliders.html)
17:37:08	51062/51062	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:46:36%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/bootstrap-slider/bootstrap-slider.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/bootstrap-slider/bootstrap-slider.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/sliders.html)
17:37:12	142/142	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Apr%202018%2010:17:05%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/ui-slider.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/js/pages/ui-slider.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/sliders.html)
17:37:13	364/364	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Jul%202017%2000:38:42%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/150x100.png	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/150x100.png	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/timeline.html)
17:37:17	21211/21211	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202017%2017:18:12%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/model2.png	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/model2.png	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/modals.html)
17:37:23	21233/21233	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202017%2017:19:14%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/model.png	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/model.png	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/modals.html)
17:37:26	197744/197744	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jan%202018%2019:38:38%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/img3.jpg	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/img3.jpg	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/sliders.html)
17:37:27	21048/21048	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202017%2017:18:20%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/model3.png	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/images/model3.png	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/UI/modals.html)
17:37:28	15731/15731	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202017%2017:44:30%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:29	1568/1568	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202017%2017:46:36%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/iCheck/all.css	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/iCheck/all.css	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:30	4319/4319	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202017%2017:44:30%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:31	2410/2410	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202017%2017:46:38%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/timepicker/bootstrap-timepicker.min.css	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/timepicker/bootstrap-timepicker.min.css	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:31	15196/15196	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202017%2017:46:22%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/select2/dist/css/select2.min.css	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/select2/dist/css/select2.min.css	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:35	90539/90539	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:46:38%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/input-mask/jquery.inputmask.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/input-mask/jquery.inputmask.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:38	22814/22814	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2017:46:38%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/input-mask/jquery.inputmask.date.extensions.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_plugins/input-mask/jquery.inputmask.date.extensions.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
17:37:38	168268/168268	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2031%20Jul%202017%2021:31:28%20GMT	http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/select2/dist/js/select2.full.js	C:/Users/white%20concept/Downloads/e%20commerece%20temp/admin%20dashboard%20new/html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/assets/vendor_components/select2/dist/js/select2.full.js	(from http://html-templates.multipurposethemes.com/bootstrap-3/admin/cross-admin/src/pages/forms/advanced.html)
